STNAME,ACTIVE,ADDRESS,ASSET,CITY,NAME,ROA,ROE,WEBADDR,ZIP,FLDOFF,REGION
Alabama,0,510 East Laurel Street,"173,273",Scottsboro,Jacobs Bank,,, ,35768,Shelby,Atlanta
Alabama,1,"900 Second Avenue, Sw","246,965",Cullman,Merchants Bank of Alabama,0.61,7.19,http://www.merchantsbankal.com:80/,35055,Shelby,Atlanta
Alabama,1,819 20th St,"372,172",Haleyville,Traders & Farmers Bank,1.01,7.52,http://www.tradersandfarmersbank.com:80/,35565,Shelby,Atlanta
Alabama,0,Main Street,"7,741",Georgiana,The Citizens Bank of Georgiana,,, ,36033,Montgomery,Atlanta
Alabama,1,146 West Front Street,"52,659",Evergreen,Bank of Evergreen,0.76,9.2,http://www.thebankofevergreen.com:80/,36401,Pensacola,Atlanta
Alabama,1,200 4th Avenue Sw,"139,184",Red Bay,Community Spirit Bank,0.98,11.55,http://www.communityspiritbank.com:80/,35582,Shelby,Atlanta
Alabama,1,44825 Highway 17,"152,302",Vernon,The Bank of Vernon,1.36,10.97,http://www.bankofvernon.com:80/,35592,Shelby,Atlanta
Alabama,1,108-110 East First Avenue,"219,014",Winfield,The Citizens Bank of Winfield,1.48,7.16,http://www.cbwinfield.com:80/,35594,Shelby,Atlanta
Alabama,0,109 East Church Street,"160,002",Columbia,Peoples Community Bank,,, ,36319,Montgomery,Atlanta
Alabama,1,Sixth And Blount Streets,"234,377",Altoona,The Exchange Bank of Alabama,0.96,8.77,http://www.exba.com:80/,35952,Shelby,Atlanta
Alabama,0,200 Church Street,"73,792",Andalusia,First Alabama Bank of Covington County,,, ,36420,Pensacola,Atlanta
Alabama,0,101 Jefferson Street,"131,453",Alexander City,SouthTrust Bank of Central Alabama,,, ,35010,Montgomery,Atlanta
Alabama,0,Main And Liberty Streets,"569,546",Blountsville,Community Bank,,,http://www.communitybankal.com:80/,35031,Shelby,Atlanta
Alabama,1,200 East Nashville Avenue,"463,928",Atmore,United Bank,0.33,3.13,http://www.unitedbank.com:80/,36502,Pensacola,Atlanta
Alabama,1,515 Commerce Street,"169,263",Geneva,The Citizens Bank,1.39,8.55,http://www.tcbgeneva.com:80/,36340,Montgomery,Atlanta
Alabama,0,227 Belleville Avenue,"117,230",Brewton,BankTrust of Brewton,,,http://www.banktrustbrewton.com:80/,36426,Pensacola,Atlanta
Alabama,0,1200 Lakeshore Boulevard,"20,843",Florala,Bank of Florala,,, ,36442,Pensacola,Atlanta
Alabama,0,First Avenue And Main Street,"21,876",Parrish,The Bank of Parrish,,, ,35580,Shelby,Atlanta
Alabama,0,548 Main Street,"40,564",Roanoke,"The Commercial Bank of Roanoke, Alabama",,, ,36274,Shelby,Atlanta
Alabama,0,Main And Robinson Streets,"10,626",Springville,Central Bank of St. Clair County,,, ,35146,Shelby,Atlanta
Alabama,0,Highway 31,"20,888",Thorsby,First Alabama Bank of Chilton County,,, ,35171,Shelby,Atlanta
Alabama,0,104 South Elm Street,"15,864",Tuskegee,SouthTrust Bank of Tuskegee,,, ,36083,Montgomery,Atlanta
Alabama,1,9411 Al Highway 22,"53,164",Maplesville,Peachtree Bank,-0.4,-3.72,http://www.peachtreebank.com:80/,36750,Shelby,Atlanta
Alabama,0,South Forest Avenue,"31,534",Luverne,Luverne Bank & Trust Company,,, ,36049,Montgomery,Atlanta
Alabama,1,2013 Highway 21 Bypass,"62,934",Monroeville,Peoples Exchange Bank of Monroe County,0.66,4.7,http://www.pebmc.com:80/,36460,Montgomery,Atlanta
Alabama,0,106 Mill Street,"40,412",Cordova,First Alabama Bank of Walker County,,, ,35550,Shelby,Atlanta
Alabama,1,11025 Hwy 25,"159,095",Calera,Central State Bank,1.05,7.74,http://www.centralstatebank.com:80/,35040,Shelby,Atlanta
Alabama,0,250 South Seventh Street,"269,047",Gadsden,"SouthTrust Bank of Etowah County, National Association",,, ,35901,Shelby,Atlanta
Alabama,0,200 North Main Street,"53,878",Brundidge,"Brundidge Banking Company, Inc.",,, ,36010,Montgomery,Atlanta
Alabama,0,201 West Green Street,"58,678",Athens,"First Alabama Bank of Athens, N. A.",,, ,35611,Shelby,Atlanta
Alabama,0,Main Street,"11,896",Collinsville,The Peoples Bank,,, ,35961,Shelby,Atlanta
Alabama,1,3251 Ross Clark Circle,"191,934",Dothan,BankSouth,0.5,3.11, ,36303,Montgomery,Atlanta
Alabama,0,531 Gunter Avenue,"28,898",Guntersville,First Alabama Bank of Guntersville,,, ,35976,Shelby,Atlanta
Arkansas,0,202 North Main Street,"31,122",Weiner,Bank of Weiner,,, ,72479,Memphis,Dallas
Arkansas,0,East Page Avenue And Ash Street,"21,931",Malvern,Horizon Bank,,, ,72104,Little Rock,Kansas City
Arkansas,1,201 South Main Street,"138,897",Warren,Warren Bank and Trust Company,1.7,10.88,http://www.warrenbanktrust.com:80/,71671,Little Rock,Dallas
Arkansas,0,Main And Washington Streets,"283,249",Jonesboro,Boatmen's Bank of Northeast Arkansas,,, ,72401,Memphis,Atlanta
Arkansas,0,300 North Vine Street,"119,311",Harrison,The Security Bank,,, ,72601,Little Rock,Atlanta
Arkansas,0,300 South Church Street,"712,107",Jonesboro,Union Planters Bank of Northeast Arkansas,,, ,72401,Memphis,Dallas
Arkansas,0,101 Public Square,"27,378",Kingston,Madison Bank and Trust,,,http://www.madisonbt.com:80/,72742,Little Rock,Dallas
Arkansas,0,210 Frisco Street,"31,748",Marked Tree,Marked Tree Bank,,, ,72365,Memphis,Dallas
Arkansas,0,Spruce Street,"35,463",Lewisville,Peoples Bank and Loan Co.,,, ,71845,Shreveport,Dallas
Arkansas,1,302 E Main,"248,936",Hampton,First Bank,1.01,10.28,http://www.firstbankar.com:80/,71744,Shreveport,Dallas
Arkansas,1,"3878 North Crossover Road, Suite 20","503,074",Fayetteville,Signature Bank of Arkansas,0.44,3.6,http://www.sbofa.com:80/,72703,Little Rock,Dallas
Arkansas,1,212 West Gaines Street,"160,389",Monticello,Commercial Bank & Trust Company,1.84,17.75,http://www.commercial-bank.net:80/,71655,Little Rock,Dallas
Arkansas,1,311 Main Street,"176,984",Mulberry,Allied Bank,1.71,17.87,http://www.justbankit.com:80/,72947,Little Rock,Dallas
Arkansas,1,1853 Highway 165 South,"395,220",Parkdale,Delta Trust & Bank,0.96,10.6,http://www.delta-trust.com:80/,71661,Little Rock,Dallas
Arkansas,1,Commerce And Main Streets,"56,271",Sparkman,Riverside Bank,3.12,34.33,http://www.riversidebanc.com:80/,71763,Little Rock,Dallas
Arkansas,1,104 S Main Street,"102,720",Warren,First State Bank of Warren,1,9.21,http://www.firststatewarren.com:80/,71671,Little Rock,Dallas
Arkansas,0,100 East Peach Street,"116,593",El Dorado,Citizens First Bank,,, ,71731,Shreveport,Dallas
Arkansas,0,200-244 Dillard Street,"60,664",Forrest City,Planters Bank & Trust Company,,, ,72335,Memphis,Dallas
Arkansas,0,835 Central Avenue,"446,375",Hot Springs,Arkansas Bank and Trust Company,,, ,71901,Little Rock,Atlanta
Arkansas,0,Main Street,"1,924",Hindsville,Valley Bank,,, ,72738,Little Rock,Dallas
Arkansas,1,503 E Antioch Street,"82,226",Delight,Bank of Delight,1.33,6.41,http://www.bankofdelight.com:80/,71940,Little Rock,Dallas
Arkansas,0,201 N.E. A Street,"712,714",Bentonville,Bank of Bentonville,,, ,72712,Little Rock,Dallas
Arkansas,1,East 2nd And Main Streets,"73,780",Prescott,Bank of Prescott,1.28,9.82,http://www.bankofprescott.com:80/,71857,Shreveport,Dallas
Arkansas,0,Court And Pruett Streets,"116,636",Paragould,Security Bank,,, ,72450,Memphis,Dallas
Arkansas,0,Main And Phillips Streets,"80,310",Lavaca,River Valley Bank and Trust,,, ,72941,Little Rock,Dallas
Arkansas,0,U.S. Highways 64 And 71,"73,774",Alma,Commercial Bank at Alma,,, ,72921,Little Rock,Dallas
Arkansas,1,133 S Main Street,"95,779",Cave City,Bank of Cave City,1.13,10.46,http://www.bankofcavecity.com:80/,72521,Little Rock,Dallas
Arkansas,1,297 Madison Street,"46,286",Clarendon,The Merchants & Planters Bank,0.84,7.8, ,72029,Memphis,Dallas
Arkansas,0,1685 East Joyce Boulevard,"287,433",Fayetteville,Chambers Bank of North Arkansas,,, ,72703,Little Rock,Dallas
Arkansas,1,Pride And Main,"128,877",Horatio,Horatio State Bank,1.07,10.21, ,71842,Shreveport,Dallas
Arkansas,1,17901 Chenal Parkway,"3,825,279",Little Rock,Bank of the Ozarks,1.96,15.8,http://www.bankozarks.com:80/,72223,Little Rock,Dallas
California,0,1251 Fourth Street,"678,407",Santa Monica,SANTA MONICA BANK,,, ,90406,Los Angeles (West),San Francisco
Florida,0,535 South Ohio Avenue,"42,886",Live Oak,NCNB National Bank of Florida,,, ,32060,Gainesville,Atlanta
Florida,0,400 West Base (U. S. 90),"31,954",Madison,"Southeast Bank of Madison County, National Association",,, ,32340,Gainesville,Atlanta
Florida,0,200 South Main Street,"21,210",Wildwood,Southeast Bank of Wildwood,,, ,34785,Tampa,Atlanta
Florida,0,1601 Main Street West Bay Station,"336,156",Jacksonville,Atlantic Bank of Jacksonville,,, ,32203,Gainesville,Atlanta
Georgia,0,106 South Patterson Street,"51,623",Valdosta,"NationsBank of Florida, National Association",,, ,31601,Albany Ga,Atlanta
Florida,0,501 East Las Olas Boulevard,"469,683",Fort Lauderdale,Century National Bank of Broward,,, ,33310,South Florida,Atlanta
Florida,0,120 South Lake Shore Way,"16,692",Lake Alfred,Flagship Bank of Lake Alfred,,, ,33850,Tampa,Atlanta
Florida,0,115 South Missouri Avenue,"530,239",Lakeland,The Huntington National Bank of Lakeland,,, ,33802,Tampa,Atlanta
Florida,1,815 Colorado Avenue,"2,167,409",Stuart,Seacoast National Bank,0.24,2.47,http://www.seacoastnational.com:80/,34995,South Florida,Atlanta
Florida,0,401 East Jackwon,"2,925,239",Tampa,"SunTrust Bank, Tampa Bay",,, ,33601,Tampa,Atlanta
Florida,0,101 East Kennedy Boulevard,"1,589,658",Tampa,"Barnett Bank of Tampa, National Association",,, ,33602,Tampa,Atlanta
Florida,1,342 East Noble Avenue,"188,234",Williston,The Perkins State Bank,-2.55,-33.06,http://www.perkinsstatebank.com:80/,32696,Gainesville,Atlanta
Florida,0,130 North Ridgewood Avenue,"232,403",Daytona Beach,Florida Bank of Volusia County,,, ,32015,Gainesville,Atlanta
Florida,0,Main Street,"32,435",Perry,"Southeast Bank of Perry, National Association",,, ,32347,Gainesville,Atlanta
Florida,0,361 North Main,"53,764",Crestview,First Bank of Crestview,,, ,32536,Pensacola,Atlanta
Florida,0,Sixth Street And Jones Avenue,"180,304",Haines City,The First Bankers of Polk County,,, ,33844,Tampa,Atlanta
Florida,0,1701 East Broadway,"51,348",Tampa,The Broadway National Bank of Tampa,,, ,33675,Tampa,Atlanta
Florida,0,920 Manatee Avenue West,"134,299",Bradenton,Southeast National Bank of Bradenton,,, ,33505,Tampa,Atlanta
Florida,0,Main Street,"80,486",Crescent City,Barnett Bank of Putnam County,,, ,32112,Gainesville,Atlanta
Florida,0,255 East Dania Beach Boulevard,"525,792",Dania,Caribank,,, ,33004,South Florida,Atlanta
Florida,0,100 West Garden Street,"792,013",Pensacola,Barnett Bank of West Florida,,, ,32502,Pensacola,Atlanta
Florida,0,1 East Jefferson Street,"1,094,453",Brooksville,Sun Bank and Trust Company,,, ,34601,Tampa,Atlanta
Florida,0,3522 Thomasville Road,"1,224,737",Tallahassee,"SunTrust Bank, Northwest, Florida",,, ,32308,Gainesville,Atlanta
Georgia,1,141 South Wayne Street,"229,250",Milledgeville,Century Bank and Trust,0.28,3.15,http://www.centurybankonline.com:80/,31061,Savannah,Atlanta
Georgia,1,133 North Main Street,"213,124",Madison,Bank of Madison,0.53,4.17,http://www.bankofmadisonga.com:80/,30650,Atlanta,Atlanta
Georgia,1,22 South Tallahassee Street,"95,643",Hazlehurst,Bank of Hazlehurst,0.6,4.77,http://www.bankofhazlehurst.com:80/,31539,Albany Ga,Atlanta
Georgia,0,215 West Jackson Street,"103,599",Dublin,The Citizens and Southern Bank of Dublin,,, ,31021,Albany Ga,Atlanta
Georgia,0,201 North Washington Street,"387,681",Clarkesville,Habersham Bank,,, ,30523,Atlanta,Atlanta
Georgia,0,102 North Peterson Avenue,"84,288",Douglas,Coffee County Bank,,, ,31533,Albany Ga,Atlanta
Georgia,0,State Highway 5 & Cartersville St.,"101,937",Ball Ground,Citizens Bank,,, ,30107,Atlanta,Atlanta
Georgia,1,245 Ne Railroad St.,"125,553",Alapaha,Bank of Alapaha,0.75,7.16, ,31622,Albany Ga,Atlanta
Georgia,1,1 East Main Street,"92,937",Forsyth,Monroe County Bank,-0.35,-4.15,http://www.mcb1908.com:80/,31029,Atlanta,Atlanta
Georgia,0,Mount Zion Street,"41,439",Milan,Bank of Milan,,, ,31060,Albany Ga,Atlanta
Georgia,0,202 West Washington Avenue,"86,876",Nashville,The United Banking Company,,, ,31639,Albany Ga,Atlanta
Georgia,0,300 North Main Street,"44,091",Sylvester,Sylvester Banking Company,,, ,31791,Albany Ga,Atlanta
Georgia,1,250 West Hancock Street,"225,047",Milledgeville,Exchange Bank,0.97,10.1,http://www.exchangebankshares.com:80/,31061,Savannah,Atlanta
Georgia,0,65 Washington Street,"189,305",Fairburn,1st Community Bank,,,http://www.1stcommbank.com:80/,30213,Atlanta,Atlanta
Georgia,0,215 North Center Street,"60,437",Thomaston,The Citizens and Southern Bank of Thomaston,,, ,30286,Atlanta,Atlanta
Georgia,0,204 Main Street,"535,505",Thomson,Allied Bank of Georgia,,, ,30824,Atlanta,Atlanta
Georgia,0,100 East Robert Toombs Avenue,"48,988",Washington,Washington Loan & Banking Company,,, ,30673,Atlanta,Atlanta
Georgia,0,402 Washington Street,"97,235",Gainesville,The Citizens Bank,,, ,30501,Atlanta,Atlanta
Georgia,0,300 South Main Street,"45,999",Moultrie,The Citizens and Southern Bank of Colquitt County,,, ,31768,Albany Ga,Atlanta
Georgia,0,1460 Eatonton Road,"43,625",Madison,Bank of Morgan County,,, ,30650,Atlanta,Atlanta
Georgia,1,318 South Hill Street,"243,325",Griffin,First National Bank of Griffin,0.5,13.36,http://www.fnbgriffin.com:80/,30224,Atlanta,Atlanta
Georgia,1,26 West Monroe Street,"33,645",Talbotton,The Peoples Bank of Talbotton,1.86,14.76,http://www.thepbot.com:80/,31827,Atlanta,Atlanta
Georgia,0,314 East Main Street,"55,346",Cartersville,Peoples Bank of Bartow County,,, ,30120,Atlanta,Atlanta
Georgia,1,400 Griffin Street,"1,051,644",Zebulon,United Bank,1.48,14.85,http://www.accessunited.com:80/,30295,Atlanta,Atlanta
Georgia,1,6124 Highway 278 Ne,"116,785",Covington,The Peoples Bank,-1.18,-28.46,http://www.peoplesbankga.com:80/,30014,Atlanta,Atlanta
Georgia,1,102 N. Church Street,"94,522",Crawford,The Commercial Bank,0.86,8.74,http://www.thecommercialbank.net:80/,30630,Atlanta,Atlanta
Georgia,0,110 North Camellia Boulevard,"100,032",Fort Valley,"First South Bank, National Association",,, ,31030,Albany Ga,Atlanta
Georgia,1,Highway 36 East,"71,509",Woodland,Talbot State Bank,-0.15,-1.87,http://www.talbotstatebank.com:80/,31836,Atlanta,Atlanta
Georgia,0,37 Magnolia Street,"175,341",Roswell,Roswell Bank,,, ,30075,Atlanta,Atlanta
Georgia,0,500 East Elm Street,"34,312",Rockmart,The Rockmart Bank,,, ,30153,Atlanta,Atlanta
Georgia,0,71 North Broad Street,"447,185",Winder,The Peoples Bank,,, ,30680,Atlanta,Atlanta
Georgia,1,6 College Street,"103,817",Mc Rae,The Merchants & Citizens Bank,2.2,15.34,http://www.merchantsandcitizensbank.com:80/,31055,Albany Ga,Atlanta
Georgia,0,U.S. Highway 78,"54,356",Villa Rica,Bank of Villa Rica,,, ,30180,Atlanta,Atlanta
Georgia,0,Adamson Square,"95,012",Carrollton,The Citizens and Southern Bank of Carrollton,,, ,30117,Atlanta,Atlanta
Georgia,0,"3475 Piedmont Road, Ne, Suite 550","1,756,782",Atlanta,FLAG Bank,,,http://www.flagbank.com:80/,30305,Atlanta,Atlanta
Georgia,0,Court Square,"45,196",Franklin,The Bank of Heard County,,, ,30217,Atlanta,Atlanta
Georgia,0,125 Heard Street,"100,912",Elberton,Granite City Bank,,, ,30635,Atlanta,Atlanta
Georgia,0,1620 East Sixteenth Avenue,"177,204",Cordele,PlantersFIRST,,, ,31015,Albany Ga,Atlanta
Georgia,0,101 South Crawford Street,"526,431",Thomasville,Commercial Bank,,, ,31792,Albany Ga,Atlanta
Georgia,0,Main Street,"5,261",Meigs,Bank of Meigs,,, ,31765,Albany Ga,Atlanta
Georgia,0,3rd Avenue And West 10th Street,"152,610",West Point,First National Bank of West Point,,, ,31833,Atlanta,Atlanta
Georgia,1,300 South Main Street,"859,069",Hinesville,The Heritage Bank,-1.31,-35.88,http://www.the-heritage-bank.com:80/,31313,Savannah,Atlanta
Georgia,0,116 North Main Street,"24,179",Wadley,Bank of Wadley,,, ,30477,Atlanta,Atlanta
Indiana,1,102 South Main Street,"61,373",Fairmount,The Citizens Exchange Bank,0.1,0.82,http://www.citizensexchangebank.com:80/,46928,Indianapolis,Chicago
Indiana,1,101 West Montgomery Street,"306,976",Francesville,Alliance Bank,1.71,17.74,http://www.myalliancebank.com:80/,47946,Indianapolis,Chicago
Indiana,0,U.S. Highway 35 And 36,"20,420",Losantville,Farmers State Bank,,, ,47354,Indianapolis,Chicago
Indiana,0,790 Mill Street,"93,962",Middletown,"First United Bank, National Association",,,http://www.firstmerchants.com:80/,47356,Indianapolis,Chicago
Indiana,0,Broad Street,"4,543",Mooreland,Farmers State Bank,,, ,47360,Indianapolis,Chicago
Indiana,0,Main Street,"114,283",Paoli,Orange County Bank,,, ,47454,Indianapolis,Chicago
Indiana,0,Main Street,"4,208",Morristown,The Union State Bank,,, ,46161,Indianapolis,Chicago
Indiana,0,76 South Main Street,"63,021",Martinsville,"Ameritrust Bank, Morgan County",,, ,46151,Indianapolis,Chicago
Indiana,1,18 East Washington Street,"174,979",Roachdale,Tri-County Bank & Trust Company,0.77,6.06,http://www.tricountybank.net:80/,46172,Indianapolis,Chicago
Indiana,0,222 South Cavin Street,"59,646",Ligonier,American State Bank,,, ,46767,Indianapolis,Chicago
Iowa,0,102 South Locust Street,"33,982",Glenwood,Mills County Bank National Association,,, ,51534,Omaha,Kansas City
Iowa,0,135 West Tilden,"65,917",Postville,Postville State Bank,,,http://www.postvillestatebank.com:80/,52162,Cedar Rapids,Kansas City
Iowa,1,121 S Marion Ave,"226,089",Washington,Washington State Bank,1.42,10.54,http://www.washsb.com:80/,52353,Cedar Rapids,Kansas City
Iowa,0,Main Street,"24,733",Rippey,Rippey Savings Bank,,, ,50235,Des Moines,Kansas City
Iowa,0,Ninth Street And Avenue G,"25,849",Fort Madison,Iowa State Bank,,, ,52627,Cedar Rapids,Kansas City
Iowa,0,1905 Okoboji Avenue,"40,145",Milford,Security State Bank,,, ,51351,Sioux City,Kansas City
Iowa,1,120 Washington Street,"36,781",Buffalo,Buffalo Savings Bank,0.16,1.64,http://www.buffalosavingsbank.com:80/,52728,Cedar Rapids,Kansas City
Iowa,0,Main Street,"9,562",Anthon,The First Trust & Savings Bank,,, ,51004,Sioux City,Kansas City
Iowa,0,Main Street,"7,877",Mcgregor,First State Savings Bank,,, ,52157,Cedar Rapids,Kansas City
Iowa,0,1009 Court Street,"68,805",Adel,Raccoon Valley State Bank,,,http://www.rvsbank.com:80/,50003,Des Moines,Kansas City
Iowa,1,1001 Main St,"39,168",Manson,Manson State Bank,1.04,9.4,http://www.mansonbank.com:80/,50563,Des Moines,Kansas City
Iowa,1,100 South Main,"28,991",Crawfordsville,Peoples Savings Bank,1.35,12.73,http://www.peoples-savings-bank.com:80/,52621,Cedar Rapids,Kansas City
Iowa,1,505 East Main Street,"117,644",Panora,Guthrie County State Bank,1.07,11.93,http://www.gcsbank.com:80/,50216,Des Moines,Kansas City
Iowa,0,801 Central Street,"45,404",Hawarden,Farmers State Bank,,, ,51023,Sioux City,Kansas City
Iowa,1,525 North Main Street,"563,525",Sioux Center,American State Bank,2.56,23.57,http://www.ambankiowa.com:80/,51250,Sioux City,Kansas City
Iowa,0,200 West State Street,"55,041",Jefferson,Brenton State Bank of Jefferson,,, ,50129,Des Moines,Kansas City
Iowa,1,1812 Highway Boulevard,"132,226",Spencer,Community State Bank,1.79,19.4,http://www.ecommunitybank.org:80/,51301,Sioux City,Kansas City
Iowa,1,627 North Adams Street,"118,820",Carroll,Commercial Savings Bank,1.44,16.45,http://www.csbcarroll.com:80/,51401,Des Moines,Kansas City
Iowa,1,126 South Market Street,"85,287",Solon,Solon State Bank,2.72,13.21,http://www.solonstatebank.com:80/,52333,Cedar Rapids,Kansas City
Iowa,0,501 Pioneer Avenue,"22,101",Oakland,Oakland Savings Bank,,, ,51560,Omaha,Kansas City
Iowa,1,223 North Main Street,"89,213",Pocahontas,Pocahontas State Bank,2.67,14.79,http://www.pocahontasstatebank.net:80/,50574,Des Moines,Kansas City
Iowa,1,109 West 2nd Street,"83,022",Sutherland,Security State Bank,2.47,29.22,http://www.mysecuritystate.com:80/,51058,Sioux City,Kansas City
Iowa,0,313 North Fourth Street,"50,632",Mapleton,First State Bank of Mapleton,0.85,10.1,http://www.fsbmapleton.com:80/,51034,Sioux City,Kansas City
Iowa,0,600 Chestnut Street,"96,894",Atlantic,"Norwest Bank Atlantic, National Association",,, ,50022,Des Moines,Kansas City
Iowa,0,Main Street,"29,614",Westside,West Side State Savings Bank,,,http://www.wsbankonline.com:80/,51467,Sioux City,Kansas City
Iowa,0,223 Main Street,"22,403",Manning,American Interstate Bank,,, ,51455,Des Moines,Kansas City
Iowa,0,1 West White Street,"95,763",Preston,Community Bank,,, ,52069,Cedar Rapids,Kansas City
Iowa,0,817 North Ankeny Boulevard,"100,316",Ankeny,Ankeny State Bank,,, ,50021,Des Moines,Kansas City
Iowa,0,205 North Vine Street,"49,200",West Union,Farmers Savings Bank,,,http://www.fsb@alpinecom.net:80/,52175,Cedar Rapids,Kansas City
Iowa,1,1202 2nd Street,"192,969",Perry,Raccoon Valley Bank,1.27,14.62,http://www.raccoonvalleybank.com:80/,50220,Des Moines,Kansas City
Iowa,0,101 3rd Avenue S.W.,"263,954",Cedar Rapids,Peoples Bank and Trust Company,,, ,52406,Cedar Rapids,Kansas City
Iowa,1,"4800 George Mills Civic Parkway, Suite 100","92,508",West Des Moines,State Savings Bank,1.69,16.67,http://www.statesavingsonline.com:80/,50265,Des Moines,Kansas City
Iowa,1,134 Main Street,"55,772",Columbus Junction,Columbus Junction State Bank,0.04,0.47,http://www.cjstatebank.com:80/,52738,Cedar Rapids,Kansas City
Iowa,1,401 Main Street,"72,982",Mapleton,Valley Bank & Trust,1.48,10.47,http://www.valleybankmapleton.com:80/,51034,Sioux City,Kansas City
Iowa,1,2206 South Center Street,"138,592",Marshalltown,Pinnacle Bank,0.84,6.37,http://www.bankpinnacle.us:80/,50158,Des Moines,Kansas City
Iowa,1,100 Harvest Drive,"469,145",Luana,Luana Savings Bank,3,31.53,http://www.luanasavingsbank.com:80/,52156,Cedar Rapids,Kansas City
Iowa,1,223 Chestnut Street,"170,374",Atlantic,First Whitney Bank and Trust,2.1,19.76,http://www.firstwhitneybank.com:80/,50022,Des Moines,Kansas City
Iowa,1,201 West Main Street,"139,517",Waukon,Farmers and Merchants Savings Bank,2.09,22.63,http://www.fmsb4me.com:80/,52172,Cedar Rapids,Kansas City
Iowa,1,260 Main Street,"57,213",Melvin,Melvin Savings Bank,1.05,5.73,http://www.melvinsavingsbank.com:80/,51350,Sioux City,Kansas City
Iowa,0,Main Street,"47,880",Pocahontas,Commercial State Bank,,, ,50574,Des Moines,Kansas City
Kentucky,1,1040 East Main Street,"2,032,553",Louisville,Stock Yards Bank & Trust Company,1.34,14.39,http://www.syb.com:80/,40232,Elizabethtown,Chicago
Kentucky,0,416 East Broadway,"79,538",Brandenburg,Farmers Deposit Bank of Brandenburg,,, ,40108,Elizabethtown,Chicago
Kentucky,1,411 New Brodhead Road,"136,278",Mount Vernon,Citizens Bank,0.45,4.28,http://www.citizensbankrb.com:80/,40456,Lexington,Chicago
Kentucky,0,125 Main Street,"11,543",Burgin,"Citizens Bank & Trust Company, Burgin, Kentucky",,, ,40310,Lexington,Chicago
Kentucky,0,13447 Dixie Highway,"86,960",Walton,Farmers National Bank,-0.3,-3.36,http://www.farmersnatbank.com:80/,41094,Lexington,Chicago
Kentucky,0,100 Main Street,"40,475",Calhoun,Citizens Deposit Bank,,, ,42327,Hopkinsville,Dallas
Kentucky,1,102 East Main Street,"62,826",Carlisle,Deposit Bank of Carlisle,-0.56,-2.97,http://www.depositbank.net:80/,40311,Lexington,Chicago
